Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 10, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 1 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.150000E-5,-6.515000E+2,-9.536820E-7,-1.728540E-6,1.974173E-6,-1.188867E+2
1.581723E-1,-6.513000E+2,-2.384200E-7,-1.490120E-6,1.509073E-6,-9.909031E+1
3.581700E-1,-6.513000E+2,-2.384200E-7,-1.072890E-6,1.099062E-6,-1.025288E+2
5.582007E-1,-6.494000E+2,-2.384200E-7,-1.549730E-6,1.567963E-6,-9.874616E+1
7.591913E-1,-6.339000E+2,-1.072890E-6,-1.609330E-6,1.934176E-6,-1.236902E+2
9.582040E-1,-6.223000E+2,-1.430520E-6,-2.145780E-6,2.578907E-6,-1.236901E+2
1.158203E+0,-5.985000E+2,-1.549730E-6,-2.563010E-6,2.995110E-6,-1.211594E+2
1.358269E+0,-5.839000E+2,-1.251700E-6,-1.907360E-6,2.281398E-6,-1.232748E+2
1.558162E+0,-5.550000E+2,-4.172340E-7,-1.907360E-6,1.952462E-6,-1.023391E+2
1.758171E+0,-5.394000E+2,-1.192100E-7,-1.549730E-6,1.554308E-6,-9.439871E+1
1.958237E+0,-5.103000E+2,1.788150E-7,1.013290E-6,1.028947E-6,7.999207E+1
2.159205E+0,-4.900000E+2,1.788150E-7,1.549730E-6,1.560012E-6,8.341806E+1
2.358168E+0,-4.618000E+2,4.768410E-7,1.430520E-6,1.507901E-6,7.156502E+1
2.558171E+0,-4.474000E+2,1.788150E-7,9.536820E-7,9.703011E-7,7.938037E+1
2.758167E+0,-4.218000E+2,-7.152590E-7,-2.384200E-7,7.539493E-7,-1.615650E+2
2.958219E+0,-4.096000E+2,-4.172340E-7,-4.172340E-7,5.900580E-7,-1.350000E+2
3.158191E+0,-3.871000E+2,-3.576300E-7,1.013290E-6,1.074549E-6,1.094399E+2
3.359237E+0,-3.771000E+2,0.000000E+0,1.788150E-6,1.788150E-6,9.000000E+1
3.559201E+0,-3.584000E+2,-4.768410E-7,2.086180E-6,2.139982E-6,1.028750E+2
3.759185E+0,-3.493000E+2,-6.556550E-7,2.086180E-6,2.186785E-6,1.074472E+2
3.958218E+0,-3.389000E+2,-1.013290E-6,2.145780E-6,2.373000E-6,1.152778E+2
4.158212E+0,-3.178000E+2,-8.940730E-7,1.251700E-6,1.538220E-6,1.255377E+2
4.358171E+0,-3.097000E+2,-4.768410E-7,5.960500E-7,7.633171E-7,1.286599E+2
4.558170E+0,-3.000000E+2,1.192100E-7,1.192100E-7,1.685884E-7,4.500000E+1
4.758210E+0,-2.780000E+2,-7.748640E-7,-5.960510E-8,7.771531E-7,-1.756013E+2
4.959271E+0,-2.684000E+2,-1.311310E-6,5.960510E-8,1.312664E-6,1.773974E+2
5.158203E+0,-2.553000E+2,-1.072890E-6,5.364450E-7,1.199527E-6,1.534350E+2
5.359241E+0,-2.354000E+2,-9.536820E-7,4.172340E-7,1.040958E-6,1.563707E+2
5.558207E+0,-2.241000E+2,-1.013290E-6,7.152590E-7,1.240303E-6,1.447826E+2
5.758205E+0,-2.017000E+2,-1.311310E-6,-3.576300E-7,1.359203E-6,-1.647449E+2
5.959159E+0,-1.911000E+2,-1.490120E-6,-3.576300E-7,1.532435E-6,-1.665042E+2
6.158163E+0,-1.712000E+2,-1.788150E-6,-7.748640E-7,1.948819E-6,-1.565713E+2
6.359237E+0,-1.584000E+2,-1.609330E-6,-4.172340E-7,1.662536E-6,-1.654655E+2
6.558175E+0,-1.471000E+2,-1.430520E-6,5.960510E-8,1.431761E-6,1.776141E+2
6.759200E+0,-1.278000E+2,-1.072890E-6,-1.192100E-7,1.079492E-6,-1.736598E+2
6.959205E+0,-1.169000E+2,-1.132500E-6,-2.384200E-7,1.157325E-6,-1.681114E+2
7.158163E+0,-9.740000E+1,-6.556550E-7,-1.251700E-6,1.413024E-6,-1.176461E+2
7.359163E+0,-8.700000E+1,1.192100E-7,-1.072890E-6,1.079492E-6,-8.365981E+1
7.558162E+0,-6.700000E+1,2.980250E-7,-3.576300E-7,4.655299E-7,-5.019443E+1
7.758220E+0,-5.710000E+1,4.172340E-7,1.788150E-7,4.539372E-7,2.319864E+1
7.958167E+0,-3.480000E+1,7.152590E-7,-6.556550E-7,9.702984E-7,-4.251049E+1
8.159234E+0,-2.400000E+1,1.788150E-7,-5.960500E-7,6.222945E-7,-7.330076E+1
8.358207E+0,-1.500000E+1,-2.980250E-7,-5.364450E-7,6.136710E-7,-1.190546E+2
8.559238E+0,6.100000E+0,5.960510E-8,-3.576300E-7,3.625631E-7,-8.053766E+1
8.758203E+0,1.530000E+1,8.940730E-7,-4.172340E-7,9.866361E-7,-2.501689E+1
8.959163E+0,3.940000E+1,5.960510E-8,-2.980250E-7,3.039271E-7,-7.869005E+1
9.159200E+0,4.840000E+1,-9.536820E-7,-2.980250E-7,9.991638E-7,-1.626460E+2
9.358172E+0,6.960000E+1,-6.556550E-7,5.960510E-8,6.583588E-7,1.748056E+2
9.558172E+0,7.860000E+1,-2.384200E-7,5.960510E-8,2.457577E-7,1.659637E+2
9.758170E+0,9.950000E+1,-6.556550E-7,-5.960510E-8,6.583588E-7,-1.748056E+2
9.958168E+0,1.088000E+2,-1.788150E-7,5.960510E-8,1.884876E-7,1.615650E+2
1.015817E+1,1.293000E+2,5.960500E-7,-2.384200E-7,6.419655E-7,-2.180141E+1
1.035826E+1,1.392000E+2,2.264990E-6,-7.152590E-7,2.375242E-6,-1.752555E+1
1.055825E+1,1.503000E+2,2.861040E-6,-7.152590E-7,2.949092E-6,-1.403622E+1
1.075822E+1,1.716000E+2,3.397480E-6,-8.940730E-7,3.513152E-6,-1.474355E+1
1.095824E+1,1.828000E+2,2.980250E-6,-1.072890E-6,3.167488E-6,-1.979888E+1
1.115821E+1,2.048000E+2,1.609330E-6,3.576300E-7,1.648588E-6,1.252885E+1
1.135921E+1,2.161000E+2,1.370910E-6,4.172340E-7,1.432996E-6,1.692753E+1
1.155827E+1,2.286000E+2,1.311310E-6,-5.364450E-7,1.416795E-6,-2.224902E+1
1.175915E+1,2.485000E+2,1.788150E-6,-7.748640E-7,1.948819E-6,-2.342867E+1
1.195920E+1,2.586000E+2,1.192100E-6,-4.768410E-7,1.283931E-6,-2.180145E+1
1.215920E+1,2.806000E+2,1.311310E-6,-4.768410E-7,1.395318E-6,-1.998315E+1
1.235918E+1,2.914000E+2,1.668940E-6,-5.960500E-7,1.772184E-6,-1.965382E+1
1.255820E+1,3.110000E+2,5.960500E-7,-1.668940E-6,1.772184E-6,-7.034618E+1
1.275823E+1,3.215000E+2,3.576300E-7,-1.788150E-6,1.823562E-6,-7.869007E+1
1.295921E+1,3.306000E+2,6.556550E-7,-1.847750E-6,1.960628E-6,-7.046330E+1
1.315821E+1,3.518000E+2,2.264990E-6,-1.132500E-6,2.532338E-6,-2.656515E+1
1.335821E+1,3.639000E+2,2.324600E-6,-1.251700E-6,2.640174E-6,-2.830061E+1
1.355821E+1,3.854000E+2,1.907360E-6,-8.940730E-7,2.106511E-6,-2.511479E+1
1.375923E+1,3.946000E+2,1.609330E-6,-5.364450E-7,1.696383E-6,-1.843500E+1
1.395821E+1,4.058000E+2,1.132500E-6,-4.172340E-7,1.206914E-6,-2.022473E+1
1.415924E+1,4.280000E+2,1.132500E-6,-1.013290E-6,1.519642E-6,-4.182019E+1
1.435821E+1,4.383000E+2,6.556550E-7,-5.960500E-7,8.860920E-7,-4.227369E+1
1.455921E+1,4.614000E+2,-4.172340E-7,-1.192100E-7,4.339300E-7,-1.640546E+2
1.475821E+1,4.720000E+2,-6.556550E-7,1.788150E-7,6.796016E-7,1.647449E+2
1.495820E+1,4.916000E+2,1.788150E-7,1.192100E-6,1.205437E-6,8.146924E+1
1.515816E+1,5.027000E+2,8.940730E-7,1.490120E-6,1.737764E-6,5.903622E+1
1.535816E+1,5.220000E+2,1.311310E-6,2.145780E-6,2.514738E-6,5.857044E+1
1.555817E+1,5.332000E+2,1.847750E-6,1.788150E-6,2.571315E-6,4.406089E+1
1.575923E+1,5.525000E+2,2.443800E-6,1.728540E-6,2.993327E-6,3.527240E+1
1.595820E+1,5.639000E+2,2.920640E-6,1.668940E-6,3.363852E-6,2.974492E+1
1.615916E+1,5.762000E+2,3.039850E-6,1.251700E-6,3.287467E-6,2.238009E+1
1.635820E+1,5.967000E+2,2.861040E-6,3.576300E-7,2.883305E-6,7.125016E+0
1.655827E+1,6.068000E+2,2.563010E-6,9.536820E-7,2.734690E-6,2.040996E+1
1.675821E+1,6.280000E+2,1.966970E-6,1.013290E-6,2.212629E-6,2.725538E+1
