Sample Name, Varga_5_4_AM_35.65G
Freq displayed, 3.568, GHz, Power, 12, dBm, 35.65 Ghz, AM, 100%, 92 kHz
SR850: f = 92001.1 Hz; phase = 0 deg; output = 5 V; sens. = 50 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.214283E+1,3.891000E+2,-1.968400E-3,1.609620E-2,1.621611E-2,9.697207E+1
1.234184E+1,4.003000E+2,-1.968400E-3,1.610200E-2,1.622187E-2,9.696958E+1
1.254283E+1,4.115000E+2,-1.970310E-3,1.610770E-2,1.622776E-2,9.697383E+1
1.274184E+1,4.369000E+2,-1.970310E-3,1.611340E-2,1.623342E-2,9.697139E+1
1.294283E+1,4.480000E+2,-1.970310E-3,1.611530E-2,1.623530E-2,9.697058E+1
1.314182E+1,4.731000E+2,-1.970310E-3,1.611720E-2,1.623719E-2,9.696976E+1
1.334182E+1,4.843000E+2,-1.972210E-3,1.612100E-2,1.624119E-2,9.697479E+1
1.354181E+1,4.983000E+2,-1.972210E-3,1.612680E-2,1.624695E-2,9.697231E+1
1.374180E+1,5.209000E+2,-1.974120E-3,1.613440E-2,1.625472E-2,9.697574E+1
1.394180E+1,5.320000E+2,-1.974120E-3,1.613820E-2,1.625849E-2,9.697411E+1
1.414186E+1,5.433000E+2,-1.976030E-3,1.614200E-2,1.626250E-2,9.697917E+1
1.434183E+1,5.683000E+2,-1.976030E-3,1.614770E-2,1.626816E-2,9.697673E+1
1.454283E+1,5.797000E+2,-1.976030E-3,1.614960E-2,1.627004E-2,9.697591E+1
1.474283E+1,6.022000E+2,-1.977940E-3,1.615540E-2,1.627603E-2,9.698011E+1
1.494183E+1,6.134000E+2,-1.977940E-3,1.615730E-2,1.627792E-2,9.697930E+1
1.514183E+1,6.359000E+2,-1.977940E-3,1.616110E-2,1.628169E-2,9.697767E+1
1.534183E+1,6.499000E+2,-1.979840E-3,1.616300E-2,1.628381E-2,9.698349E+1
1.554183E+1,6.613000E+2,-1.979840E-3,1.616680E-2,1.628758E-2,9.698187E+1
1.574280E+1,6.871000E+2,-1.979840E-3,1.616680E-2,1.628758E-2,9.698187E+1
1.594183E+1,6.979000E+2,-1.979840E-3,1.616110E-2,1.628192E-2,9.698431E+1
1.614283E+1,7.238000E+2,-1.979840E-3,1.615730E-2,1.627815E-2,9.698593E+1
1.634287E+1,7.352000E+2,-1.979840E-3,1.615730E-2,1.627815E-2,9.698593E+1
1.654179E+1,7.468000E+2,-1.979840E-3,1.616110E-2,1.628192E-2,9.698431E+1
1.674180E+1,7.719000E+2,-1.979840E-3,1.616490E-2,1.628569E-2,9.698268E+1
1.694184E+1,7.829000E+2,-1.979840E-3,1.616870E-2,1.628946E-2,9.698106E+1
1.714180E+1,7.969000E+2,-1.981750E-3,1.617440E-2,1.629535E-2,9.698529E+1
1.734282E+1,8.198000E+2,-1.981750E-3,1.618400E-2,1.630488E-2,9.698118E+1
1.754284E+1,8.313000E+2,-1.981750E-3,1.618400E-2,1.630488E-2,9.698118E+1
1.774181E+1,8.540000E+2,-1.983660E-3,1.618210E-2,1.630323E-2,9.698866E+1
1.794180E+1,8.652000E+2,-1.983660E-3,1.618400E-2,1.630511E-2,9.698785E+1
1.814180E+1,8.906000E+2,-1.983660E-3,1.618210E-2,1.630323E-2,9.698866E+1
1.834184E+1,9.019000E+2,-1.983660E-3,1.618210E-2,1.630323E-2,9.698866E+1
1.854180E+1,9.247000E+2,-1.983660E-3,1.618020E-2,1.630134E-2,9.698947E+1
1.874184E+1,9.359000E+2,-1.983660E-3,1.617830E-2,1.629946E-2,9.699028E+1
1.894182E+1,9.471000E+2,-1.981750E-3,1.617630E-2,1.629724E-2,9.698447E+1
1.914180E+1,9.726000E+2,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
1.934283E+1,9.841000E+2,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
1.954182E+1,1.010100E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
1.974186E+1,1.021200E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
1.994182E+1,1.043400E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
2.014180E+1,1.054800E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
2.034180E+1,1.069600E+3,-1.983660E-3,1.617250E-2,1.629370E-2,9.699277E+1
2.054180E+1,1.092500E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
2.074186E+1,1.106400E+3,-1.983660E-3,1.617440E-2,1.629559E-2,9.699195E+1
2.094180E+1,1.128800E+3,-1.983660E-3,1.617830E-2,1.629946E-2,9.699028E+1
2.114286E+1,1.140100E+3,-1.983660E-3,1.618020E-2,1.630134E-2,9.698947E+1
2.134180E+1,1.151600E+3,-1.983660E-3,1.618400E-2,1.630511E-2,9.698785E+1
2.154288E+1,1.174500E+3,-1.983660E-3,1.618780E-2,1.630889E-2,9.698622E+1
2.174180E+1,1.185800E+3,-1.983660E-3,1.618970E-2,1.631077E-2,9.698541E+1
2.194186E+1,1.208200E+3,-1.983660E-3,1.619350E-2,1.631454E-2,9.698379E+1
2.214180E+1,1.222100E+3,-1.983660E-3,1.619350E-2,1.631454E-2,9.698379E+1
2.234180E+1,1.244800E+3,-1.985560E-3,1.619540E-2,1.631666E-2,9.698960E+1
2.254286E+1,1.256400E+3,-1.985560E-3,1.619730E-2,1.631855E-2,9.698879E+1
2.274286E+1,1.278900E+3,-1.985560E-3,1.619920E-2,1.632043E-2,9.698797E+1
2.294280E+1,1.290100E+3,-1.985560E-3,1.620110E-2,1.632232E-2,9.698716E+1
2.314183E+1,1.304000E+3,-1.985560E-3,1.620300E-2,1.632420E-2,9.698635E+1
2.334283E+1,1.326600E+3,-1.987470E-3,1.621260E-2,1.633397E-2,9.698891E+1
