Sample Name, Varga_5_4_Klyst36G
Freq displayed, 3.568, GHz, Power, 14, mV
SR850: f = 25 Hz; phase = 0 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.198291E+1,1.387000E+2,-2.682220E-6,9.834820E-6,1.019402E-5,1.052551E+2
1.218291E+1,1.579000E+2,-3.546490E-6,7.838070E-6,8.603077E-6,1.143453E+2
1.238291E+1,1.691000E+2,-3.635900E-6,7.092980E-6,7.970579E-6,1.171399E+2
1.258291E+1,1.885000E+2,-3.874330E-6,7.897670E-6,8.796796E-6,1.161310E+2
1.278292E+1,1.992000E+2,-3.516690E-6,8.374510E-6,9.082925E-6,1.127789E+2
1.298291E+1,2.190000E+2,-1.639140E-6,7.897670E-6,8.065976E-6,1.017251E+2
1.318295E+1,2.292000E+2,-9.536820E-7,7.897670E-6,7.955042E-6,9.688541E+1
1.338291E+1,2.382000E+2,-3.278270E-7,7.957280E-6,7.964030E-6,9.235916E+1
1.358291E+1,2.620000E+2,3.576300E-7,5.543260E-6,5.554784E-6,8.630861E+1
1.378392E+1,2.711000E+2,-5.066430E-7,5.006820E-6,5.032388E-6,9.577813E+1
1.398291E+1,2.922000E+2,-1.251700E-6,4.231960E-6,4.413189E-6,1.064768E+2
1.418391E+1,3.011000E+2,-8.940730E-7,4.291560E-6,4.383703E-6,1.017683E+2
1.438391E+1,3.223000E+2,-1.162300E-6,3.665700E-6,3.845556E-6,1.075925E+2
1.458391E+1,3.317000E+2,-2.026570E-6,4.142550E-6,4.611692E-6,1.160683E+2
1.478291E+1,3.527000E+2,-1.609330E-6,4.440580E-6,4.723208E-6,1.099212E+2
1.498295E+1,3.618000E+2,-1.132500E-6,4.202160E-6,4.352092E-6,1.050831E+2
1.518291E+1,3.731000E+2,-1.132500E-6,4.291560E-6,4.438473E-6,1.047828E+2
1.538395E+1,3.956000E+2,-1.370910E-6,4.678990E-6,4.875689E-6,1.063302E+2
1.558391E+1,4.168000E+2,-1.400720E-6,5.185630E-6,5.371478E-6,1.051158E+2
1.578297E+1,4.265000E+2,-8.344690E-7,5.453850E-6,5.517320E-6,9.869911E+1
1.598291E+1,4.378000E+2,-6.258520E-7,5.960490E-6,5.993257E-6,9.599410E+1
1.618291E+1,4.565000E+2,-4.768410E-7,4.798200E-6,4.821836E-6,9.567537E+1
1.638291E+1,4.678000E+2,-6.258520E-7,3.993540E-6,4.042283E-6,9.890673E+1
1.658291E+1,4.873000E+2,-6.854570E-7,2.980250E-6,3.058062E-6,1.029528E+2
1.678391E+1,4.986000E+2,-1.162300E-6,2.712030E-6,2.950601E-6,1.131986E+2
1.698291E+1,5.182000E+2,-1.579530E-6,3.248470E-6,3.612129E-6,1.159308E+2
1.718391E+1,5.293000E+2,-8.344690E-7,3.099460E-6,3.209827E-6,1.050685E+2
1.738291E+1,5.519000E+2,1.192100E-7,2.622620E-6,2.625328E-6,8.739744E+1
1.758391E+1,5.628000E+2,8.940740E-8,2.115980E-6,2.117868E-6,8.758050E+1
1.778291E+1,5.719000E+2,3.576300E-7,2.741830E-6,2.765055E-6,8.256859E+1
1.798298E+1,5.959000E+2,-2.086170E-7,2.175580E-6,2.185559E-6,9.547736E+1
1.818298E+1,6.052000E+2,-8.940740E-8,1.877550E-6,1.879678E-6,9.272632E+1
1.838291E+1,6.290000E+2,-1.251700E-6,2.622620E-6,2.906009E-6,1.155138E+2
1.858391E+1,6.392000E+2,-1.549730E-6,3.188860E-6,3.545489E-6,1.159189E+2
1.878391E+1,6.514000E+2,-1.102690E-6,3.099460E-6,3.289769E-6,1.095840E+2
1.898291E+1,6.733000E+2,-1.341110E-6,1.579530E-6,2.072074E-6,1.303331E+2
1.918291E+1,6.825000E+2,-8.344690E-7,8.046660E-7,1.159235E-6,1.360416E+2
1.938291E+1,7.044000E+2,-2.682230E-7,1.907360E-6,1.926127E-6,9.800475E+1
1.958291E+1,7.139000E+2,-6.258520E-7,2.563010E-6,2.638316E-6,1.037223E+2
1.978392E+1,7.388000E+2,-1.192100E-6,2.980250E-6,3.209827E-6,1.118014E+2
1.998298E+1,7.481000E+2,-1.102690E-6,2.026570E-6,2.307144E-6,1.185513E+2
2.018291E+1,7.592000E+2,-7.450620E-7,1.609330E-6,1.773432E-6,1.148424E+2
2.038291E+1,7.825000E+2,-1.251700E-6,2.682230E-7,1.280116E-6,1.679052E+2
2.058396E+1,7.928000E+2,-5.662480E-7,-1.132500E-6,1.266173E-6,-1.165650E+2
2.078291E+1,8.167000E+2,3.576300E-7,-2.890840E-6,2.912877E-6,-8.294769E+1
2.098291E+1,8.264000E+2,-8.940740E-8,-3.695500E-6,3.696581E-6,-9.138592E+1
2.118291E+1,8.411000E+2,-6.258520E-7,-4.172350E-6,4.219028E-6,-9.853076E+1
2.138290E+1,8.613000E+2,-5.960510E-8,-4.559780E-6,4.560170E-6,-9.074892E+1
2.158291E+1,8.749000E+2,8.642710E-7,-5.185630E-6,5.257159E-6,-8.053769E+1
2.178391E+1,8.860000E+2,2.264990E-6,-6.020100E-6,6.432090E-6,-6.938180E+1
2.198291E+1,9.082000E+2,2.980250E-6,-6.318120E-6,6.985738E-6,-6.474680E+1
2.218295E+1,9.198000E+2,3.099460E-6,-5.483660E-6,6.298982E-6,-6.052411E+1
2.238291E+1,9.398000E+2,1.609330E-6,-5.334640E-6,5.572103E-6,-7.321273E+1
2.258291E+1,9.510000E+2,1.043090E-6,-3.993540E-6,4.127517E-6,-7.536171E+1
2.278291E+1,9.715000E+2,2.086180E-6,-3.367680E-6,3.961492E-6,-5.822299E+1
2.298394E+1,9.823000E+2,1.758340E-6,-4.053140E-6,4.418111E-6,-6.654776E+1
2.318291E+1,9.946000E+2,1.847750E-6,-4.470380E-6,4.837197E-6,-6.754314E+1
2.338291E+1,1.016500E+3,1.609330E-6,-4.678990E-6,4.948019E-6,-7.101944E+1
2.358288E+1,1.026000E+3,1.192100E-6,-4.321370E-6,4.482783E-6,-7.457787E+1
2.378293E+1,1.050500E+3,6.556550E-7,-4.738600E-6,4.783745E-6,-8.212231E+1
2.398291E+1,1.060600E+3,4.470370E-7,-5.990300E-6,6.006957E-6,-8.573211E+1
2.418291E+1,1.070700E+3,0.000000E+0,-6.616140E-6,6.616140E-6,-9.000000E+1
2.438292E+1,1.095400E+3,3.278270E-7,-6.288320E-6,6.296859E-6,-8.701572E+1
2.458291E+1,1.104800E+3,1.013290E-6,-6.049900E-6,6.134170E-6,-8.049186E+1
2.478291E+1,1.130100E+3,1.311310E-6,-5.275040E-6,5.435585E-6,-7.603994E+1
2.498298E+1,1.139400E+3,1.460320E-6,-4.917410E-6,5.129664E-6,-7.346020E+1
2.518291E+1,1.150300E+3,1.609330E-6,-4.321370E-6,4.611310E-6,-6.957407E+1
2.538391E+1,1.174000E+3,1.758340E-6,-4.231960E-6,4.582712E-6,-6.743757E+1
2.558291E+1,1.185300E+3,1.400720E-6,-3.933940E-6,4.175871E-6,-7.040120E+1
2.578291E+1,1.205400E+3,5.662480E-7,-3.606100E-6,3.650287E-6,-8.107600E+1
2.598292E+1,1.216900E+3,3.278270E-7,-3.516690E-6,3.531937E-6,-8.467426E+1
2.618391E+1,1.236700E+3,-3.874320E-7,-3.218670E-6,3.241904E-6,-9.686368E+1
2.638291E+1,1.250000E+3,3.278270E-7,-2.473610E-6,2.495239E-6,-8.245060E+1
2.658291E+1,1.260900E+3,2.980250E-7,-1.728540E-6,1.754044E-6,-8.021757E+1
2.678391E+1,1.281300E+3,5.662480E-7,-8.940730E-7,1.058302E-6,-5.765248E+1
2.698291E+1,1.294400E+3,5.364450E-7,-1.192100E-6,1.307240E-6,-6.577226E+1
2.718292E+1,1.313900E+3,1.579530E-6,-2.145780E-6,2.664449E-6,-5.364285E+1
2.738396E+1,1.324900E+3,9.834840E-7,-1.400720E-6,1.711507E-6,-5.492625E+1
2.758292E+1,1.334000E+3,1.370910E-6,-4.470370E-7,1.441956E-6,-1.806051E+1
