Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.213042E+1,2.750000E+2,1.698740E-6,0.000000E+0,1.698740E-6,0.000000E+0
1.232936E+1,2.861000E+2,1.162300E-6,4.768410E-7,1.256312E-6,2.230620E+1
1.252936E+1,2.987000E+2,5.662480E-7,8.642710E-7,1.033248E-6,5.676822E+1
1.272937E+1,3.182000E+2,-1.877550E-6,2.056370E-6,2.784574E-6,1.323974E+2
1.292941E+1,3.287000E+2,-2.443800E-6,1.728540E-6,2.993327E-6,1.447276E+2
1.312936E+1,3.489000E+2,-2.175580E-6,-4.470370E-7,2.221034E-6,-1.683885E+2
1.332936E+1,3.590000E+2,-1.639140E-6,-2.384200E-7,1.656389E-6,-1.717241E+2
1.352939E+1,3.796000E+2,-9.536820E-7,2.026570E-6,2.239753E-6,1.152012E+2
1.373040E+1,3.892000E+2,-9.238760E-7,3.039850E-6,3.177143E-6,1.069052E+2
1.392940E+1,4.095000E+2,-3.576300E-7,2.473610E-6,2.499329E-6,9.822672E+1
1.413038E+1,4.197000E+2,-2.980250E-7,1.996770E-6,2.018888E-6,9.848894E+1
1.432940E+1,4.291000E+2,5.066430E-7,1.311310E-6,1.405781E-6,6.887526E+1
1.453039E+1,4.530000E+2,1.549730E-6,3.278270E-7,1.584024E-6,1.194416E+1
1.472936E+1,4.627000E+2,4.768410E-7,4.470370E-7,6.536202E-7,4.315230E+1
1.492935E+1,4.833000E+2,1.043090E-6,1.132500E-6,1.539673E-6,4.735336E+1
1.513036E+1,4.934000E+2,1.698740E-6,1.221900E-6,2.092548E-6,3.572738E+1
1.532936E+1,5.135000E+2,2.115980E-6,1.281510E-6,2.473790E-6,3.120053E+1
1.552940E+1,5.260000E+2,1.996770E-6,2.592820E-6,3.272584E-6,5.239959E+1
1.573036E+1,5.375000E+2,2.414000E-6,2.592820E-6,3.542614E-6,4.704547E+1
1.592936E+1,5.569000E+2,1.996770E-6,1.132500E-6,2.295571E-6,2.956043E+1
1.612933E+1,5.682000E+2,1.996770E-6,2.086170E-7,2.007638E-6,5.964466E+0
1.633036E+1,5.898000E+2,2.086180E-6,-6.556550E-7,2.186785E-6,-1.744715E+1
1.652935E+1,6.012000E+2,2.175580E-6,-3.278270E-7,2.200141E-6,-8.569139E+0
1.672944E+1,6.233000E+2,1.758340E-6,-1.490130E-7,1.764643E-6,-4.844037E+0
1.692939E+1,6.340000E+2,1.519930E-6,-9.834840E-7,1.810367E-6,-3.290524E+1
1.712940E+1,6.448000E+2,8.046660E-7,-1.162300E-6,1.413658E-6,-5.530496E+1
1.732937E+1,6.669000E+2,7.450620E-7,-1.043090E-6,1.281856E-6,-5.446241E+1
1.752935E+1,6.783000E+2,3.874320E-7,-6.258520E-7,7.360668E-7,-5.824053E+1
1.772935E+1,6.982000E+2,1.788150E-7,3.278270E-7,3.734238E-7,6.138950E+1
1.793043E+1,7.094000E+2,-2.980250E-8,2.980250E-8,4.214710E-8,1.350000E+2
1.813044E+1,7.300000E+2,2.086170E-7,-5.960500E-7,6.315035E-7,-7.071000E+1
1.832935E+1,7.406000E+2,-8.940740E-8,-4.172340E-7,4.267059E-7,-1.020948E+2
1.853039E+1,7.616000E+2,1.490130E-7,-1.519930E-6,1.527217E-6,-8.440065E+1
1.872935E+1,7.717000E+2,2.384200E-7,-1.609330E-6,1.626895E-6,-8.157301E+1
1.892938E+1,7.930000E+2,1.192100E-7,-8.940730E-7,9.019853E-7,-8.240534E+1
1.912941E+1,8.025000E+2,-4.172340E-7,-7.450620E-7,8.539330E-7,-1.192488E+2
1.933043E+1,8.242000E+2,-1.311310E-6,-2.980250E-8,1.311649E-6,-1.786981E+2
1.953036E+1,8.335000E+2,-1.519930E-6,2.980250E-7,1.548873E-6,1.689063E+2
1.972941E+1,8.446000E+2,-1.370910E-6,-2.980250E-8,1.371234E-6,-1.787546E+2
1.992939E+1,8.646000E+2,-6.556550E-7,-1.758340E-6,1.876604E-6,-1.104496E+2
2.012938E+1,8.863000E+2,-7.450620E-7,-2.652420E-6,2.755077E-6,-1.056900E+2
2.032939E+1,8.959000E+2,0.000000E+0,-3.129260E-6,3.129260E-6,-9.000000E+1
