Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 17, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 1 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.350000E-5,-6.501000E+2,-3.576290E-6,4.768410E-7,3.607940E-6,1.724053E+2
1.616965E-1,-6.490000E+2,-3.576290E-6,3.576300E-7,3.594127E-6,1.742894E+2
3.606521E-1,-6.492000E+2,-3.516690E-6,1.788150E-7,3.521233E-6,1.770892E+2
5.606462E-1,-6.465000E+2,-3.337870E-6,-2.384200E-7,3.346374E-6,-1.759144E+2
7.606482E-1,-6.300000E+2,-3.457080E-6,-1.370910E-6,3.718978E-6,-1.583691E+2
9.616590E-1,-6.179000E+2,-3.814730E-6,-1.132500E-6,3.979287E-6,-1.634651E+2
1.160649E+0,-5.916000E+2,-3.576290E-6,-3.576300E-7,3.594127E-6,-1.742894E+2
1.360650E+0,-5.769000E+2,-3.755110E-6,5.960510E-8,3.755583E-6,1.790906E+2
1.561653E+0,-5.459000E+2,-3.814730E-6,7.152590E-7,3.881206E-6,1.693804E+2
1.760651E+0,-5.304000E+2,-4.649190E-6,1.192100E-6,4.799591E-6,1.656186E+2
1.960651E+0,-4.951000E+2,-4.172350E-6,4.172340E-7,4.193160E-6,1.742894E+2
2.161661E+0,-4.792000E+2,-4.231960E-6,2.980250E-7,4.242441E-6,1.759717E+2
2.360719E+0,-4.651000E+2,-3.933940E-6,2.384200E-7,3.941158E-6,1.765318E+2
2.560646E+0,-4.321000E+2,-4.231960E-6,-6.556550E-7,4.282449E-6,-1.711932E+2
2.760653E+0,-4.199000E+2,-4.053140E-6,-5.364450E-7,4.088486E-6,-1.724606E+2
2.960654E+0,-3.918000E+2,-4.887610E-6,-2.503410E-6,5.491429E-6,-1.528787E+2
3.160615E+0,-3.811000E+2,-4.708800E-6,-2.086180E-6,5.150237E-6,-1.561048E+2
3.360647E+0,-3.711000E+2,-4.470380E-6,-1.013290E-6,4.583782E-6,-1.672287E+2
3.560651E+0,-3.486000E+2,-3.933940E-6,3.576300E-7,3.950162E-6,1.748056E+2
3.760649E+0,-3.403000E+2,-5.245240E-6,5.960500E-7,5.278998E-6,1.735169E+2
3.960649E+0,-3.214000E+2,-6.854560E-6,5.960500E-7,6.880426E-6,1.750303E+2
4.160646E+0,-3.108000E+2,-6.675750E-6,1.430520E-6,6.827300E-6,1.679052E+2
4.360651E+0,-3.005000E+2,-6.079700E-6,1.609330E-6,6.289093E-6,1.651735E+2
4.560652E+0,-2.826000E+2,-3.516690E-6,2.443800E-6,4.282437E-6,1.452040E+2
4.760655E+0,-2.717000E+2,-2.801430E-6,2.622620E-6,3.837466E-6,1.368881E+2
4.961693E+0,-2.527000E+2,-2.801430E-6,2.026570E-6,3.457600E-6,1.441178E+2
5.161654E+0,-2.424000E+2,-3.576290E-6,1.132500E-6,3.751321E-6,1.624286E+2
5.360649E+0,-2.197000E+2,-3.397480E-6,6.556550E-7,3.460167E-6,1.690772E+2
5.560717E+0,-2.082000E+2,-3.278270E-6,4.172340E-7,3.304715E-6,1.727468E+2
5.760651E+0,-1.884000E+2,-4.172350E-6,-1.251700E-6,4.356060E-6,-1.633008E+2
