Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.198821E+1,-2.415000E+2,-1.251700E-6,9.238760E-7,1.555731E-6,1.435691E+2
1.218723E+1,-2.365000E+2,-9.238760E-7,5.960500E-7,1.099465E-6,1.471714E+2
1.238721E+1,-2.327000E+2,-5.960510E-8,5.662480E-7,5.693765E-7,9.600901E+1
1.258827E+1,-2.244000E+2,0.000000E+0,2.384200E-7,2.384200E-7,9.000000E+1
1.278722E+1,-2.211000E+2,-8.046660E-7,1.192100E-7,8.134485E-7,1.715730E+2
1.298722E+1,-2.125000E+2,-8.940730E-7,3.278270E-7,9.522799E-7,1.598637E+2
1.318721E+1,-2.094000E+2,-9.238760E-7,6.556550E-7,1.132886E-6,1.446375E+2
1.338726E+1,-2.005000E+2,-4.768410E-7,6.258520E-7,7.868088E-7,1.273040E+2
1.358721E+1,-1.977000E+2,-5.364450E-7,9.536820E-7,1.094204E-6,1.193577E+2
1.378821E+1,-1.889000E+2,-1.758340E-6,1.341110E-6,2.211410E-6,1.426667E+2
1.398721E+1,-1.859000E+2,-1.996770E-6,1.132500E-6,2.295571E-6,1.504396E+2
1.418722E+1,-1.771000E+2,-1.341110E-6,4.172340E-7,1.404514E-6,1.627185E+2
1.438718E+1,-1.737000E+2,-7.748640E-7,4.470370E-7,8.945705E-7,1.500184E+2
1.458725E+1,-1.653000E+2,-3.576300E-7,7.748640E-7,8.534128E-7,1.147752E+2
1.478728E+1,-1.613000E+2,-2.980250E-8,1.043090E-6,1.043516E-6,9.163657E+1
1.498718E+1,-1.534000E+2,-5.364450E-7,8.940730E-7,1.042660E-6,1.209638E+2
1.518718E+1,-1.485000E+2,-8.344690E-7,6.258520E-7,1.043086E-6,1.431301E+2
1.538722E+1,-1.433000E+2,-1.221900E-6,5.066430E-7,1.322772E-6,1.574794E+2
1.558818E+1,-1.362000E+2,-4.172340E-7,-7.450620E-7,8.539330E-7,-1.192488E+2
1.578824E+1,-1.312000E+2,-3.874320E-7,-1.788150E-7,4.267064E-7,-1.552248E+2
1.598722E+1,-1.238000E+2,-9.238760E-7,7.748640E-7,1.205803E-6,1.400131E+2
1.618725E+1,-1.191000E+2,-1.400720E-6,1.549730E-6,2.088942E-6,1.321088E+2
1.638718E+1,-1.115000E+2,-1.221900E-6,1.162300E-6,1.686411E-6,1.364320E+2
1.658718E+1,-1.072000E+2,-1.162300E-6,9.238760E-7,1.484752E-6,1.415199E+2
1.678718E+1,-9.900000E+1,-3.576300E-7,9.536820E-7,1.018533E-6,1.105560E+2
1.698718E+1,-9.540000E+1,2.384200E-7,8.046660E-7,8.392446E-7,7.349561E+1
1.718718E+1,-8.760000E+1,9.834840E-7,2.086170E-7,1.005367E-6,1.197609E+1
1.738718E+1,-8.360000E+1,1.579530E-6,-2.682230E-7,1.602142E-6,-9.637571E+0
1.758718E+1,-7.470000E+1,1.430520E-6,-5.066430E-7,1.517588E-6,-1.950247E+1
1.778825E+1,-7.090000E+1,1.341110E-6,-2.682230E-7,1.367669E-6,-1.130997E+1
1.798718E+1,-6.770000E+1,7.748640E-7,1.788150E-7,7.952289E-7,1.299463E+1
1.818718E+1,-5.770000E+1,5.364450E-7,8.940730E-7,1.042660E-6,5.903619E+1
1.838718E+1,-5.490000E+1,1.847750E-6,1.966970E-6,2.698731E-6,4.679006E+1
1.858721E+1,-4.480000E+1,6.973770E-6,1.460320E-6,7.125026E-6,1.182695E+1
1.878723E+1,-4.160000E+1,9.447390E-6,5.960500E-7,9.466174E-6,3.610092E+0
1.898722E+1,-3.270000E+1,1.102690E-5,5.960500E-7,1.104300E-5,3.094065E+0
1.918818E+1,-2.990000E+1,1.147400E-5,1.966970E-6,1.164138E-5,9.727572E+0
1.938723E+1,-2.100000E+1,1.138450E-5,3.308070E-6,1.185539E-5,1.620263E+1
1.958728E+1,-1.800000E+1,1.049050E-5,3.039850E-6,1.092205E-5,1.616009E+1
1.978721E+1,-9.200000E+0,7.391010E-6,2.115980E-6,7.687939E-6,1.597594E+1
1.998729E+1,-5.900000E+0,5.573060E-6,9.834840E-7,5.659173E-6,1.000801E+1
2.018722E+1,-7.000000E-1,3.725300E-6,2.086170E-7,3.731137E-6,3.205219E+0
2.038718E+1,7.000000E+0,4.470370E-7,2.980250E-8,4.480293E-7,3.814079E+0
2.058724E+1,1.170000E+1,-2.235190E-6,3.576300E-7,2.263620E-6,1.709097E+2
2.078722E+1,1.870000E+1,-5.155830E-6,1.758340E-6,5.447416E-6,1.611686E+2
2.098822E+1,2.390000E+1,-6.049900E-6,2.145780E-6,6.419164E-6,1.604714E+2
2.118716E+1,3.100000E+1,-8.374510E-6,2.354400E-6,8.699173E-6,1.642973E+2
2.138722E+1,3.620000E+1,-1.004340E-5,2.324600E-6,1.030891E-5,1.669681E+2
2.158718E+1,4.350000E+1,-1.412640E-5,1.579530E-6,1.421443E-5,1.736200E+2
2.178718E+1,4.840000E+1,-1.484160E-5,1.072890E-6,1.488033E-5,1.758653E+2
2.198718E+1,5.600000E+1,-1.060970E-5,5.662480E-7,1.062480E-5,1.769450E+2
2.218822E+1,6.150000E+1,-8.195700E-6,-2.980250E-7,8.201117E-6,-1.779174E+2
2.238718E+1,6.480000E+1,-6.258520E-6,-9.536820E-7,6.330765E-6,-1.713358E+2
2.258818E+1,7.410000E+1,-3.010050E-6,-1.043090E-6,3.185661E-6,-1.608870E+2
2.278718E+1,7.830000E+1,-2.622620E-6,-8.940730E-7,2.770831E-6,-1.611753E+2
2.298719E+1,8.670000E+1,-2.324600E-6,-6.556550E-7,2.415295E-6,-1.642489E+2
2.318718E+1,9.030000E+1,-1.847750E-6,-3.874320E-7,1.887931E-6,-1.681579E+2
2.338718E+1,9.900000E+1,-1.370910E-6,5.960510E-8,1.372205E-6,1.775104E+2
2.358825E+1,1.022000E+2,-1.430520E-6,-1.788150E-7,1.441653E-6,-1.728750E+2
2.378818E+1,1.063000E+2,-8.046660E-7,-6.258520E-7,1.019401E-6,-1.421250E+2
2.398718E+1,1.156000E+2,1.162300E-6,-1.370910E-6,1.797313E-6,-4.970769E+1
2.418718E+1,1.189000E+2,1.549730E-6,-6.854570E-7,1.694554E-6,-2.386016E+1
2.438821E+1,1.271000E+2,2.145780E-6,9.238760E-7,2.336219E-6,2.329453E+1
2.458718E+1,1.309000E+2,1.698740E-6,9.536820E-7,1.948134E-6,2.931009E+1
2.478822E+1,1.389000E+2,1.192100E-6,2.145780E-6,2.454684E-6,6.094540E+1
2.498718E+1,1.432000E+2,1.758340E-6,2.712030E-6,3.232161E-6,5.704271E+1
2.518718E+1,1.506000E+2,9.834840E-7,4.768410E-7,1.092986E-6,2.586637E+1
2.538723E+1,1.554000E+2,5.066430E-7,-7.450620E-7,9.010019E-7,-5.578425E+1
2.558821E+1,1.638000E+2,2.086170E-7,-6.854570E-7,7.165001E-7,-7.307251E+1
2.578719E+1,1.679000E+2,-2.384200E-7,-1.013290E-6,1.040961E-6,-1.032405E+2
2.598726E+1,1.734000E+2,-1.043090E-6,-1.102690E-6,1.517881E-6,-1.334090E+2
2.618718E+1,1.801000E+2,-2.384200E-6,-1.966970E-6,3.090854E-6,-1.404773E+2
2.638818E+1,1.855000E+2,-2.920640E-6,-2.563010E-6,3.885764E-6,-1.387314E+2
2.658725E+1,1.901000E+2,-3.278270E-6,-2.563010E-6,4.161259E-6,-1.419811E+2
2.678718E+1,1.979000E+2,-2.086180E-6,-2.712030E-6,3.421586E-6,-1.275686E+2
2.698819E+1,2.034000E+2,-1.370910E-6,-3.069650E-6,3.361866E-6,-1.140656E+2
2.718827E+1,2.107000E+2,-2.682230E-7,-3.069650E-6,3.081346E-6,-9.499377E+1
2.738722E+1,2.156000E+2,-2.682230E-7,-2.950440E-6,2.962607E-6,-9.519445E+1
2.758722E+1,2.231000E+2,4.470370E-7,-2.801430E-6,2.836874E-6,-8.093349E+1
2.778729E+1,2.275000E+2,6.556550E-7,-2.086180E-6,2.186785E-6,-7.255285E+1
2.798819E+1,2.354000E+2,1.996770E-6,1.788150E-7,2.004761E-6,5.117309E+0
2.818818E+1,2.393000E+2,1.847750E-6,2.384200E-7,1.863068E-6,7.352399E+0
2.838822E+1,2.478000E+2,2.682220E-6,-1.430520E-6,3.039851E-6,-2.807253E+1
2.858718E+1,2.522000E+2,3.010050E-6,-1.519930E-6,3.372030E-6,-2.679157E+1
2.878718E+1,2.555000E+2,3.457080E-6,-1.579530E-6,3.800831E-6,-2.455553E+1
2.898718E+1,2.645000E+2,3.218670E-6,-1.639140E-6,3.612010E-6,-2.698793E+1
2.918718E+1,2.676000E+2,2.264990E-6,-1.698740E-6,2.831236E-6,-3.686986E+1
2.938718E+1,2.775000E+2,1.937170E-6,-3.069650E-6,3.629790E-6,-5.774513E+1
