Sample Name, AUS25x23_48G
Freq, 48, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 10 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
4.755327E+0,-3.012000E+2,1.257290E-8,6.984960E-8,7.097214E-8,7.979605E+1,
4.955776E+0,-2.903000E+2,2.328320E-9,9.732370E-8,9.735155E-8,8.862955E+1,
5.155274E+0,-2.710000E+2,4.004710E-8,5.681090E-8,6.950718E-8,5.481925E+1,
5.355751E+0,-2.579000E+2,3.725310E-8,5.355130E-8,6.523446E-8,5.517550E+1,
5.555153E+0,-2.385000E+2,4.190970E-8,2.421450E-8,4.840212E-8,3.001837E+1,
5.755616E+0,-2.253000E+2,4.982600E-8,2.700850E-8,5.667530E-8,2.846019E+1,
5.955041E+0,-2.146000E+2,1.131560E-7,-2.235190E-8,1.153425E-7,-1.117389E+1,
6.155583E+0,-1.944000E+2,1.085000E-7,-4.656650E-10,1.085010E-7,-2.459030E-1,
6.355024E+0,-1.844000E+2,1.559970E-7,-3.445920E-8,1.597576E-7,-1.245641E+1,
6.555532E+0,-1.639000E+2,1.513410E-7,5.122300E-9,1.514277E-7,1.938498E+0,
6.755013E+0,-1.545000E+2,1.122250E-7,4.889470E-8,1.224138E-7,2.354201E+1,
6.955461E+0,-1.315000E+2,1.429590E-7,3.492480E-8,1.471632E-7,1.372843E+1,
7.154885E+0,-1.214000E+2,1.518060E-7,1.536690E-8,1.525818E-7,5.780203E+0,
7.355374E+0,-1.094000E+2,2.062890E-7,-4.842900E-8,2.118974E-7,-1.321168E+1,
7.355374E+0,-1.094000E+2,2.062890E-7,-4.842900E-8,1.861590E-7,-6.751721E+0,
7.756282E+0,-7.670000E+1,2.295720E-7,-7.683460E-8,2.420885E-7,-1.850469E+1,
7.954784E+0,-6.640000E+1,1.662420E-7,-7.683460E-8,1.699673E-7,-1.201803E+1,
8.156280E+0,-4.690000E+1,1.443560E-7,-3.539050E-8,1.473068E-7,-1.148751E+1,
8.354614E+0,-2.580000E+1,1.150190E-7,-5.587960E-9,1.151547E-7,-2.781410E+0,
8.556101E+0,-1.670000E+1,8.242250E-8,2.793980E-9,8.246984E-8,1.941484E+0,
8.754688E+0,-3.800000E+0,5.075730E-8,7.916300E-9,5.137092E-8,8.864650E+0,
8.956084E+0,1.600000E+1,4.656640E-8,-2.933680E-8,5.503706E-8,-3.221090E+1,
8.956084E+0,1.600000E+1,4.656640E-8,-2.933680E-8,2.533488E-8,1.260275E+2,
9.355059E+0,4.600000E+1,6.426170E-8,-3.306220E-8,7.226808E-8,-2.722551E+1,
9.555427E+0,5.710000E+1,-2.328320E-9,3.213090E-8,3.221515E-8,9.414461E+1,
9.754958E+0,7.630000E+1,-7.916290E-8,5.681090E-8,9.743841E-8,1.443351E+2,
9.955358E+0,8.920000E+1,-9.546100E-8,4.563500E-8,1.058081E-7,1.544499E+2,
1.015490E+1,1.000000E+2,-1.159500E-7,5.029160E-8,1.263869E-7,1.565519E+2,
1.015490E+1,1.000000E+2,-1.159500E-7,5.029160E-8,8.583508E-8,1.765788E+2,
1.055583E+1,1.329000E+2,-1.527380E-7,8.428510E-8,1.744502E-7,1.511089E+2,
1.075527E+1,1.520000E+2,-9.033870E-8,1.862660E-9,9.035790E-8,1.788188E+2,
1.095571E+1,1.630000E+2,-1.466840E-7,5.355130E-8,1.561536E-7,1.599439E+2,
1.115622E+1,1.720000E+2,-9.592670E-8,-1.396990E-9,9.593687E-8,-1.791657E+2,
1.135568E+1,1.961000E+2,-1.550660E-7,6.612440E-8,1.685761E-7,1.569053E+2,
1.155611E+1,2.055000E+2,-7.450630E-8,-4.051280E-8,8.480846E-8,-1.514649E+2,
1.175561E+1,2.287000E+2,-1.778840E-7,-7.916300E-9,1.780601E-7,-1.774519E+2,
1.195512E+1,2.389000E+2,-1.010490E-7,-7.031530E-8,1.231062E-7,-1.451677E+2,
1.215555E+1,2.506000E+2,-8.335380E-8,-7.078100E-8,1.093518E-7,-1.396633E+2,
1.235495E+1,2.718000E+2,-1.140870E-7,-7.078100E-8,1.172404E-7,-1.666812E+2,
1.255542E+1,2.808000E+2,-1.196760E-7,3.585610E-8,1.249320E-7,1.633213E+2,
1.275591E+1,3.049000E+2,-8.940740E-8,4.936030E-8,1.021280E-7,1.510977E+2,
1.295534E+1,3.138000E+2,-1.038430E-7,5.355130E-8,1.168380E-7,1.527201E+2,
1.315582E+1,3.266000E+2,-4.656640E-8,-2.840550E-8,5.454633E-8,-1.486168E+2,
1.335632E+1,3.469000E+2,-5.308560E-8,-5.494830E-8,7.640286E-8,-1.340122E+2,
1.355573E+1,3.571000E+2,-1.359740E-7,1.443560E-8,1.367381E-7,1.739399E+2,
1.355573E+1,3.571000E+2,-1.359740E-7,1.443560E-8,7.507438E-8,-1.350000E+2,
1.395569E+1,3.881000E+2,-3.539050E-8,-5.681090E-8,6.693255E-8,-1.219210E+2,
1.415513E+1,4.013000E+2,-1.024460E-7,-8.847620E-9,1.028273E-7,-1.750640E+2,
1.435462E+1,4.207000E+2,-1.396990E-8,-6.379610E-8,6.530774E-8,-1.023515E+2,
1.455611E+1,4.340000E+2,-7.171230E-8,9.313280E-9,7.231453E-8,1.726004E+2,
1.475458E+1,4.533000E+2,4.656650E-10,-6.007080E-8,6.007260E-8,-8.955586E+1,
1.495605E+1,4.648000E+2,-6.752130E-8,2.328320E-9,6.756143E-8,1.780251E+2,
