Sample Name, AUS25x23_36G
Freq, 36, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 20 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.230000E-5,-6.729000E+2,6.351660E-7,4.656640E-8,6.368707E-7,4.193067E+0,
8.983560E-2,-6.726000E+2,5.504150E-7,1.071030E-7,5.607386E-7,1.101135E+1,
2.878943E-1,-6.732000E+2,6.118830E-7,-7.450640E-9,6.119284E-7,-6.976320E-1,
4.892740E-1,-6.710000E+2,5.327200E-7,5.494830E-8,5.355464E-7,5.889044E+0,
6.898329E-1,-6.575000E+2,5.587970E-7,-5.587960E-9,5.588249E-7,-5.729377E-1,
8.882382E-1,-6.464000E+2,5.057120E-7,4.377240E-8,5.076028E-7,4.946963E+0,
1.089741E+0,-6.357000E+2,4.237540E-7,1.238670E-7,4.414867E-7,1.629410E+1,
1.288177E+0,-6.053000E+2,4.330670E-7,2.514580E-8,4.337964E-7,3.323117E+0,
1.488649E+0,-5.911000E+2,4.638000E-7,-2.514580E-8,4.644812E-7,-3.103361E+0,
1.688081E+0,-5.605000E+2,5.038490E-7,4.190970E-8,5.055890E-7,4.754865E+0,
1.688081E+0,-5.605000E+2,5.038490E-7,4.190970E-8,5.770179E-7,4.072434E+0,
2.089051E+0,-5.309000E+2,6.333030E-7,2.793980E-8,6.339190E-7,2.526114E+0,
2.289484E+0,-4.969000E+2,7.078090E-7,2.514580E-8,7.082555E-7,2.034649E+0,
2.488968E+0,-4.837000E+2,6.873200E-7,3.632180E-8,6.882791E-7,3.025013E+0,
2.688438E+0,-4.522000E+2,7.348170E-7,-1.303860E-7,7.462952E-7,-1.006184E+1,
2.887925E+0,-4.405000E+2,7.413360E-7,-2.104800E-7,7.706367E-7,-1.585030E+1,
3.088364E+0,-4.251000E+2,7.543750E-7,-2.104800E-7,7.675425E-7,-1.062822E+1,
3.288811E+0,-4.037000E+2,8.922110E-7,-1.108280E-7,8.990680E-7,-7.080854E+0,
3.489288E+0,-3.928000E+2,7.897650E-7,7.264360E-8,7.930989E-7,5.255352E+0,
