Sample Name, AUS25x23_40G
Freq, 40, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 20 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.740000E-5,-6.701000E+2,3.660120E-7,9.685800E-8,3.786110E-7,1.482245E+1,
4.114360E-2,-6.701000E+2,3.660120E-7,9.685800E-8,3.786110E-7,1.482245E+1,
2.405033E-1,-6.713000E+2,3.892950E-7,6.612440E-8,3.948709E-7,9.640071E+0,
4.419261E-1,-6.687000E+2,3.082700E-7,6.984960E-8,3.160844E-7,1.276683E+1,
6.413759E-1,-6.624000E+2,2.207240E-7,1.359740E-7,2.592451E-7,3.163458E+1,
8.408657E-1,-6.526000E+2,2.728790E-7,7.264360E-8,2.823828E-7,1.490708E+1,
1.041301E+0,-6.279000E+2,2.561160E-7,9.220140E-8,2.722067E-7,1.979881E+1,
1.241847E+0,-6.108000E+2,2.011670E-7,4.936030E-8,2.071343E-7,1.378629E+1,
1.441234E+0,-5.966000E+2,1.769520E-7,5.122300E-8,1.842167E-7,1.614435E+1,
1.641723E+0,-5.633000E+2,1.359740E-7,-1.294550E-7,1.877432E-7,-4.359309E+1,
1.842196E+0,-5.471000E+2,1.145530E-7,-1.145530E-7,1.620024E-7,-4.500000E+1,
2.040632E+0,-5.169000E+2,2.179300E-7,-7.543760E-8,2.306173E-7,-1.909356E+1,
2.241157E+0,-5.016000E+2,3.306210E-7,-8.754480E-8,3.420151E-7,-1.483093E+1,
2.441613E+0,-4.881000E+2,4.079210E-7,-5.215430E-8,4.112416E-7,-7.285962E+0,
2.642088E+0,-4.558000E+2,4.656630E-7,4.936030E-8,4.682718E-7,6.050761E+0,
2.840567E+0,-4.440000E+2,4.721820E-7,1.862660E-9,4.721857E-7,2.260188E-1,
3.040991E+0,-4.156000E+2,4.656630E-7,2.793980E-9,4.656714E-7,3.437708E-1,
3.240502E+0,-4.058000E+2,5.224760E-7,-3.352780E-8,5.235507E-7,-3.671692E+0,
3.441944E+0,-3.929000E+2,6.388910E-7,-9.406400E-8,6.457784E-7,-8.375493E+0,
3.641401E+0,-3.702000E+2,6.724190E-7,-4.004710E-8,6.736105E-7,-3.408325E+0,
3.840821E+0,-3.621000E+2,7.599630E-7,-7.823160E-8,7.639790E-7,-5.877401E+0,
3.840821E+0,-3.621000E+2,7.599630E-7,-7.823160E-8,9.350597E-7,2.568877E+0,
4.241780E+0,-3.351000E+2,9.667200E-7,1.220040E-7,9.743883E-7,7.192933E+0,
4.441280E+0,-3.159000E+2,9.927970E-7,4.004710E-8,9.936044E-7,2.309925E+0,
4.640820E+0,-3.067000E+2,8.950050E-7,4.377240E-8,8.960748E-7,2.799959E+0,
4.841225E+0,-2.959000E+2,8.279490E-7,6.053640E-8,8.301591E-7,4.181803E+0,
5.040590E+0,-2.750000E+2,6.910450E-7,-9.313300E-10,6.910456E-7,-7.721819E-2,
5.242113E+0,-2.637000E+2,6.305090E-7,1.490130E-8,6.306851E-7,1.353863E+0,
5.440556E+0,-2.443000E+2,5.811490E-7,2.980250E-8,5.819127E-7,2.935672E+0,
5.642073E+0,-2.328000E+2,5.746300E-7,4.749770E-8,5.765897E-7,4.725206E+0,
5.840536E+0,-2.132000E+2,5.150250E-7,7.450630E-8,5.203863E-7,8.231610E+0,
6.041998E+0,-2.019000E+2,5.625220E-7,7.450640E-9,5.625713E-7,7.588419E-1,
6.241461E+0,-1.896000E+2,6.286460E-7,1.713640E-7,6.515838E-7,1.524792E+1,
6.441998E+0,-1.690000E+2,7.459930E-7,2.440080E-7,7.848856E-7,1.811248E+1,
6.641412E+0,-1.595000E+2,7.459930E-7,1.862650E-7,7.688954E-7,1.401938E+1,
6.840891E+0,-1.385000E+2,6.118830E-7,9.778930E-8,6.196479E-7,9.080053E+0,
7.042295E+0,-1.265000E+2,5.858060E-7,2.421450E-8,5.863062E-7,2.366994E+0,
7.241781E+0,-1.065000E+2,4.805660E-7,2.048920E-8,4.810026E-7,2.441359E+0,
7.442294E+0,-9.680000E+1,4.377230E-7,3.352780E-8,4.390052E-7,4.380071E+0,
7.640714E+0,-8.510000E+1,4.982610E-7,-3.911580E-8,4.997940E-7,-4.488778E+0,
7.841171E+0,-6.410000E+1,4.787030E-7,-8.568210E-8,4.863106E-7,-1.014780E+1,
8.041653E+0,-5.520000E+1,4.125780E-7,-1.769520E-8,4.129573E-7,-2.455873E+0,
8.242087E+0,-3.430000E+1,4.265480E-7,-5.494830E-8,4.300727E-7,-7.340468E+0,
8.440572E+0,-2.520000E+1,3.771870E-7,-7.171230E-8,3.839436E-7,-1.076482E+1,
8.641063E+0,-4.600000E+0,2.365570E-7,-1.955790E-8,2.373641E-7,-4.726312E+0,
8.840505E+0,8.000000E+0,2.738110E-7,-8.754480E-8,2.874657E-7,-1.773049E+1,
9.042003E+0,1.830000E+1,2.514590E-7,-9.406400E-8,2.684766E-7,-2.050946E+1,
9.240475E+0,4.060000E+1,6.333040E-8,-5.681090E-8,8.507772E-8,-4.189388E+1,
9.441833E+0,5.190000E+1,-5.587960E-8,1.862660E-9,5.591064E-8,1.780908E+2,
9.640377E+0,6.200000E+1,-1.424930E-7,1.210730E-8,1.430064E-7,1.751434E+2,
9.640377E+0,6.200000E+1,-1.424930E-7,1.210730E-8,1.696273E-7,1.777974E+2,
1.004230E+1,1.041000E+2,-2.374880E-7,-4.749770E-8,2.421912E-7,-1.686900E+2,
1.024076E+1,1.150000E+2,-4.088520E-7,1.303860E-8,4.090599E-7,1.781734E+2,
1.024076E+1,1.150000E+2,-4.088520E-7,1.303860E-8,4.025765E-7,-1.729572E+2,
1.064070E+1,1.458000E+2,-5.234070E-7,2.514580E-8,5.240107E-7,1.772495E+2,
1.084217E+1,1.555000E+2,-5.280640E-7,1.210730E-8,5.282028E-7,1.786866E+2,
1.104168E+1,1.764000E+2,-5.513470E-7,5.681090E-8,5.542662E-7,1.741170E+2,
1.124103E+1,1.855000E+2,-5.066430E-7,-8.381960E-9,5.067123E-7,-1.790522E+2,
1.144051E+1,2.087000E+2,-6.835940E-7,-4.377240E-8,6.849940E-7,-1.763362E+2,
1.164100E+1,2.188000E+2,-6.845260E-7,-4.377240E-8,6.850225E-7,-1.778184E+2,
1.184145E+1,2.281000E+2,-6.444790E-7,-9.499540E-8,6.514425E-7,-1.716151E+2,
1.204093E+1,2.518000E+2,-7.795210E-7,-1.350430E-7,7.911318E-7,-1.701717E+2,
1.224038E+1,2.607000E+2,-7.376110E-7,-1.695020E-7,7.568361E-7,-1.670582E+2,
1.244083E+1,2.818000E+2,-6.938390E-7,-9.685800E-8,7.005669E-7,-1.720530E+2,
1.264231E+1,2.908000E+2,-6.314400E-7,-2.793980E-9,6.314462E-7,-1.797465E+2,
1.284081E+1,3.116000E+2,-5.448270E-7,3.725310E-8,5.460991E-7,1.760884E+2,
1.304224E+1,3.211000E+2,-5.839430E-7,-3.259650E-8,5.848521E-7,-1.768050E+2,
1.324169E+1,3.446000E+2,-7.692760E-7,-7.823160E-8,7.732437E-7,-1.741933E+2,
1.344116E+1,3.536000E+2,-6.612430E-7,-1.685700E-7,6.823915E-7,-1.656983E+2,
1.364163E+1,3.648000E+2,-6.062950E-7,-1.024460E-7,6.148893E-7,-1.704093E+2,
1.384208E+1,3.868000E+2,-4.367920E-7,8.940740E-8,4.458486E-7,1.684319E+2,
1.384208E+1,3.868000E+2,-4.367920E-7,8.940740E-8,5.459924E-7,1.578539E+2,
1.424206E+1,4.203000E+2,-5.196820E-7,6.426170E-8,5.236401E-7,1.729508E+2,
1.444058E+1,4.298000E+2,-5.615910E-7,6.239910E-8,5.650470E-7,1.736598E+2,
1.464200E+1,4.412000E+2,-6.444790E-7,6.053640E-8,6.473159E-7,1.746339E+2,
1.484142E+1,4.605000E+2,-6.835940E-7,9.220140E-8,6.897839E-7,1.723185E+2,
1.504093E+1,4.716000E+2,-6.947700E-7,1.424930E-7,7.092317E-7,1.684097E+2,
1.524040E+1,4.930000E+2,-7.255040E-7,9.406400E-8,7.315764E-7,1.726126E+2,
1.544188E+1,5.043000E+2,-8.242240E-7,2.188620E-7,8.527871E-7,1.651290E+2,
1.564229E+1,5.137000E+2,-8.726530E-7,2.542530E-7,9.089378E-7,1.637562E+2,
1.584173E+1,5.377000E+2,-1.013290E-6,3.790500E-7,1.081867E-6,1.594903E+2,
1.604123E+1,5.470000E+2,-9.760330E-7,3.259650E-7,1.029026E-6,1.615323E+2,
1.624169E+1,5.704000E+2,-9.341200E-7,1.024460E-7,9.397209E-7,1.737413E+2,
1.644122E+1,5.835000E+2,-1.041230E-6,8.754480E-8,1.044904E-6,1.751940E+2,
1.664062E+1,5.925000E+2,-9.434330E-7,5.587960E-8,9.450864E-7,1.766103E+2,
1.664062E+1,5.925000E+2,-9.434330E-7,5.587960E-8,7.478524E-7,1.771447E+2,
1.704152E+1,6.231000E+2,-7.227100E-7,5.122300E-8,7.245230E-7,1.759459E+2,
1.724205E+1,6.446000E+2,-6.444790E-7,8.381960E-9,6.445335E-7,1.792549E+2,
1.744151E+1,6.538000E+2,-6.100200E-7,-7.450640E-9,6.100655E-7,-1.793002E+2,
1.764094E+1,6.781000E+2,-5.541410E-7,-3.632180E-8,5.553301E-7,-1.762499E+2,
1.784145E+1,6.873000E+2,-3.222390E-7,-1.331800E-7,3.486759E-7,-1.575449E+2,
1.804190E+1,7.089000E+2,-2.747420E-7,-1.378370E-7,3.073796E-7,-1.533573E+2,
1.824132E+1,7.181000E+2,-3.203770E-7,-1.247980E-7,3.438255E-7,-1.587174E+2,
1.844079E+1,7.396000E+2,-3.809130E-7,-7.916290E-8,3.890520E-7,-1.682597E+2,
1.864227E+1,7.492000E+2,-4.349290E-7,-2.793980E-9,4.349380E-7,-1.796319E+2,
1.884175E+1,7.624000E+2,-4.163030E-7,3.445920E-8,4.177267E-7,1.752682E+2,
