Sample Name, AUS25x23_30G
Freq, 30, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 50 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
5.120000E-5,-6.666000E+2,6.007080E-8,-1.396990E-9,6.631992E-7,9.655655E-1,
3.124650E-2,-6.666000E+2,6.631050E-7,1.117590E-8,6.631992E-7,9.655655E-1,
2.331372E-1,-6.664000E+2,6.631050E-7,1.117590E-8,3.790400E-7,1.451427E+1,
4.326901E-1,-6.657000E+2,5.625220E-7,9.872060E-8,5.711189E-7,9.953841E+0,
6.320833E-1,-6.589000E+2,7.264350E-7,1.955790E-7,7.523024E-7,1.506851E+1,
8.325535E-1,-6.415000E+2,6.854570E-7,3.166510E-7,7.550624E-7,2.479486E+1,
1.033056E+0,-6.296000E+2,6.388910E-7,3.241020E-7,7.163964E-7,2.689815E+1,
1.232540E+0,-6.038000E+2,8.996610E-7,1.899910E-7,9.195034E-7,1.192455E+1,
1.232540E+0,-6.038000E+2,8.996610E-7,1.899910E-7,8.035356E-7,9.069337E+0,
1.632440E+0,-5.718000E+2,8.121170E-7,5.960510E-8,8.143014E-7,4.197681E+0,
1.831931E+0,-5.403000E+2,8.642710E-7,-5.587960E-9,8.642891E-7,-3.704418E-1,
2.031378E+0,-5.261000E+2,8.381940E-7,-3.501790E-7,9.084022E-7,-2.267410E+1,
2.031378E+0,-5.261000E+2,8.381940E-7,-3.501790E-7,1.164885E-6,-1.991266E+1,
2.431376E+0,-4.818000E+2,1.117590E-6,-4.600750E-7,1.208584E-6,-2.237535E+1,
2.631727E+0,-4.535000E+2,1.043090E-6,-2.607720E-7,1.075192E-6,-1.403622E+1,
2.831198E+0,-4.412000E+2,9.685830E-7,-1.247980E-7,9.765898E-7,-7.341880E+0,
3.032709E+0,-4.165000E+2,9.201500E-7,-2.421450E-8,9.204686E-7,-1.507437E+0,
3.232184E+0,-4.054000E+2,8.419190E-7,1.378370E-7,8.531276E-7,9.297845E+0,
3.431668E+0,-3.819000E+2,6.966330E-7,1.266610E-7,7.080541E-7,1.030488E+1,
3.431668E+0,-3.819000E+2,6.966330E-7,1.266610E-7,6.528656E-7,9.193605E+0,
3.832557E+0,-3.630000E+2,7.338860E-7,-1.117590E-8,7.339711E-7,-8.724549E-1,
4.032049E+0,-3.442000E+2,7.227100E-7,-4.656640E-8,7.242087E-7,-3.686645E+0,
4.232623E+0,-3.344000E+2,6.239900E-7,5.215430E-8,6.261658E-7,4.777788E+0,
4.431957E+0,-3.168000E+2,6.035010E-7,-2.980250E-8,6.042364E-7,-2.827123E+0,
4.631449E+0,-3.062000E+2,4.246850E-7,6.333040E-8,4.293811E-7,8.481630E+0,
4.832890E+0,-2.853000E+2,1.396990E-7,3.725320E-9,1.397487E-7,1.527531E+0,
5.031377E+0,-2.749000E+2,9.313280E-9,1.117590E-8,1.454778E-8,5.019434E+1,
5.231840E+0,-2.644000E+2,-2.980250E-8,-1.229350E-7,1.264959E-7,-1.036270E+2,
5.432320E+0,-2.412000E+2,-2.551840E-7,-9.499540E-8,2.722921E-7,-1.595816E+2,
5.632798E+0,-2.310000E+2,-3.874320E-7,-1.341110E-7,4.099870E-7,-1.609065E+2,
5.832233E+0,-2.111000E+2,-6.798690E-7,5.587960E-9,6.798920E-7,1.795291E+2,
6.032702E+0,-2.002000E+2,-7.096710E-7,-4.842900E-8,7.113215E-7,-1.760961E+2,
6.232166E+0,-1.800000E+2,-8.735840E-7,-1.229350E-7,8.821916E-7,-1.719897E+2,
6.432577E+0,-1.800000E+2,-8.735840E-7,-1.229350E-7,9.080315E-7,-1.641675E+2,
6.632089E+0,-1.493000E+2,-9.350520E-7,-2.048920E-7,9.572372E-7,-1.676405E+2,
6.632089E+0,-1.493000E+2,-9.350520E-7,-2.048920E-7,9.929558E-7,-1.694068E+2,
7.031976E+0,-1.279000E+2,-9.853470E-7,-1.378370E-7,9.949411E-7,-1.720368E+2,
7.232473E+0,-1.041000E+2,-7.059460E-7,-7.450630E-8,7.098668E-7,-1.739752E+2,
7.431929E+0,-9.530000E+1,-5.047800E-7,-9.127010E-8,5.129650E-7,-1.697510E+2,
7.431929E+0,-9.530000E+1,-5.047800E-7,-9.127010E-8,3.543008E-7,1.772880E+2,
7.831816E+0,-6.280000E+1,-1.508750E-7,-7.078100E-8,1.666530E-7,-1.548670E+2,
8.031352E+0,-5.290000E+1,-8.754480E-8,4.656640E-8,9.915907E-8,1.519908E+2,
8.231743E+0,-3.310000E+1,2.589090E-7,-3.166520E-8,2.608382E-7,-6.972785E+0,
8.431293E+0,-2.240000E+1,4.880170E-7,-3.352780E-8,4.891674E-7,-3.930166E+0,
8.632820E+0,1.000000E-1,7.115340E-7,-8.009420E-8,7.160277E-7,-6.422494E+0,
8.832222E+0,1.000000E+1,7.487870E-7,-1.117590E-7,7.570813E-7,-8.488925E+0,
9.031654E+0,2.330000E+1,7.916280E-7,-9.499540E-8,7.973074E-7,-6.842776E+0,
9.233091E+0,4.270000E+1,6.184020E-7,-9.499540E-8,6.388124E-7,1.452244E+1,
9.233091E+0,4.270000E+1,6.184020E-7,1.601880E-7,5.469608E-7,3.585531E+1,
9.633036E+0,6.680000E+1,4.433110E-7,3.315530E-7,5.535811E-7,3.679287E+1,
9.831507E+0,8.910000E+1,5.997750E-7,2.235180E-7,6.400706E-7,2.043890E+1,
1.003196E+1,9.990000E+1,5.327200E-7,2.384200E-7,5.836392E-7,2.411101E+1,
1.023148E+1,1.213000E+2,7.599630E-7,0.000000E+0,7.599630E-7,0.000000E+0,
1.043288E+1,1.325000E+2,7.767270E-7,9.313270E-8,7.822906E-7,6.837353E+0,
1.063239E+1,1.415000E+2,8.810350E-7,1.378370E-7,8.917520E-7,8.891786E+0,
1.083287E+1,1.648000E+2,1.037500E-6,3.725320E-9,1.037507E-6,2.057293E-1,
1.103227E+1,1.747000E+2,1.102690E-6,-7.264360E-8,1.105080E-6,-3.769116E+0,
1.123177E+1,1.969000E+2,1.098970E-6,-1.136220E-7,1.104828E-6,-5.902811E+0,
1.143122E+1,2.077000E+2,1.139950E-6,-6.146770E-8,1.141606E-6,-3.086480E+0,
1.163169E+1,2.167000E+2,1.104560E-6,9.313280E-9,1.104599E-6,4.830874E-1,
1.183320E+1,2.379000E+2,1.089650E-6,-4.097840E-8,1.090420E-6,-2.153704E+0,
1.183320E+1,2.379000E+2,1.089650E-6,-4.097840E-8,1.218886E-6,-8.613001E+0,
1.203162E+1,2.469000E+2,1.205140E-6,-1.825400E-7,1.039473E-6,-8.449518E+0,
1.243254E+1,2.803000E+2,9.387770E-7,-1.359740E-7,9.485732E-7,-8.241501E+0,
1.263301E+1,3.009000E+2,5.718360E-7,-1.080340E-7,5.819517E-7,-1.069850E+1,
1.283248E+1,3.098000E+2,4.116460E-7,-8.195680E-8,4.197253E-7,-1.126008E+1,
1.303196E+1,3.308000E+2,7.636890E-8,2.793980E-8,8.131938E-8,2.009520E+1,
1.303196E+1,3.308000E+2,7.636890E-8,2.793980E-8,1.672870E-7,1.611616E+2,
1.343188E+1,3.608000E+2,-2.849870E-7,-4.842900E-8,2.890726E-7,-1.703556E+2,
1.363135E+1,3.709000E+2,-4.190970E-7,-9.313280E-9,4.192005E-7,-1.787270E+2,
1.383183E+1,3.849000E+2,-5.196820E-7,4.656640E-8,5.217641E-7,1.748797E+2,
1.403136E+1,4.037000E+2,-5.383080E-7,9.313280E-9,5.383886E-7,1.790088E+2,
1.423182E+1,4.180000E+2,-6.035010E-7,3.725320E-9,6.035125E-7,1.796463E+2,
1.443224E+1,4.280000E+2,-5.234070E-7,-2.607710E-8,5.240562E-7,-1.771478E+2,
1.443224E+1,4.280000E+2,-5.234070E-7,-2.607710E-8,6.988706E-7,1.754139E+2,
1.483311E+1,4.614000E+2,-7.767270E-7,1.285230E-7,7.872884E-7,1.706045E+2,
1.503164E+1,4.831000E+2,-7.748640E-7,4.284110E-8,7.760474E-7,1.768354E+2,
1.523303E+1,4.945000E+2,-8.083920E-7,4.097840E-8,8.094300E-7,1.770981E+2,
1.543256E+1,5.036000E+2,-8.195680E-7,1.303860E-8,8.196717E-7,1.790886E+2,
1.563302E+1,5.287000E+2,-7.245730E-7,-7.636890E-8,7.285865E-7,-1.739833E+2,
1.583150E+1,5.399000E+2,-6.537920E-7,-1.210730E-7,6.649080E-7,-1.695085E+2,
1.603291E+1,5.520000E+2,-6.407540E-7,-9.685800E-8,6.480333E-7,-1.714041E+2,
1.623244E+1,5.733000E+2,-9.536820E-7,-1.080340E-7,9.597816E-7,-1.735370E+2,
1.643190E+1,5.824000E+2,-8.903480E-7,-1.117590E-7,8.973347E-7,-1.728455E+2,
1.663136E+1,6.036000E+2,-7.450620E-7,-4.842900E-8,7.466343E-7,-1.762810E+2,
1.683178E+1,6.159000E+2,-6.891820E-7,-1.490130E-8,6.893431E-7,-1.787614E+2,
1.703129E+1,6.261000E+2,-6.482040E-7,3.725320E-9,6.482147E-7,1.796707E+2,
1.703129E+1,6.261000E+2,-6.482040E-7,3.725320E-9,6.085216E-7,1.660063E+2,
1.743120E+1,6.592000E+2,-4.805660E-7,9.127010E-8,4.891563E-7,1.692463E+2,
1.763171E+1,6.805000E+2,-5.159560E-7,7.823160E-8,5.218532E-7,1.713782E+2,
1.783316E+1,6.904000E+2,-5.662480E-7,1.490130E-7,5.855268E-7,1.652564E+2,
1.803255E+1,7.112000E+2,-6.109510E-7,3.166520E-8,6.117710E-7,1.770331E+2,
1.823306E+1,7.217000E+2,-6.649680E-7,1.303860E-8,6.650958E-7,1.788767E+2,
1.843256E+1,7.422000E+2,-8.083920E-7,5.587960E-8,8.103210E-7,1.760458E+2,
1.863301E+1,7.534000E+2,-8.288810E-7,1.415620E-7,8.408826E-7,1.703081E+2,
1.863301E+1,7.534000E+2,-8.288810E-7,1.415620E-7,6.601089E-7,1.682779E+2,
1.903289E+1,7.850000E+2,-6.444790E-7,1.341110E-7,6.582848E-7,1.682450E+2,
1.903289E+1,7.850000E+2,-6.444790E-7,1.341110E-7,6.582848E-7,1.682450E+2,
1.943287E+1,8.182000E+2,-4.936050E-7,1.676390E-7,5.212952E-7,1.612414E+2,
1.963237E+1,8.292000E+2,-4.302730E-7,1.173470E-7,4.459879E-7,1.647449E+2,
1.983175E+1,8.517000E+2,-4.749760E-7,3.110640E-7,5.677702E-7,1.467790E+2,
2.003223E+1,8.633000E+2,-4.991930E-7,3.110640E-7,5.881789E-7,1.480716E+2,
2.023173E+1,8.835000E+2,-5.234070E-7,1.993040E-7,5.600687E-7,1.591541E+2,
2.043318E+1,8.948000E+2,-5.401710E-7,2.384200E-7,5.904480E-7,1.561844E+2,
2.063163E+1,9.039000E+2,-4.470370E-7,1.080340E-7,4.599059E-7,1.664140E+2,
2.083213E+1,9.256000E+2,-6.314400E-7,2.048920E-8,6.317723E-7,1.781415E+2,
