Sample Name, Varga_5_4_12G
Freq, 12, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 5 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
4.570000E-5,-6.984000E+2,-6.102530E-7,-1.350420E-8,6.104024E-7,-1.787323E+2
3.888170E-2,-6.984000E+2,-6.102530E-7,-1.350420E-8,6.104024E-7,-1.787323E+2
2.392410E-1,-6.981000E+2,-5.934890E-7,-2.724130E-8,5.941139E-7,-1.773720E+2
4.382701E-1,-6.976000E+2,-6.100200E-7,-9.313300E-10,6.100207E-7,-1.799125E+2
6.392738E-1,-6.902000E+2,-5.825460E-7,-2.048920E-8,5.829062E-7,-1.779856E+2
8.382722E-1,-6.699000E+2,-5.923250E-7,1.164160E-8,5.924394E-7,1.788741E+2
1.038228E+0,-6.577000E+2,-5.888320E-7,4.190980E-9,5.888469E-7,1.795922E+2
1.238233E+0,-6.339000E+2,-5.965160E-7,1.816090E-8,5.967924E-7,1.782562E+2
1.438263E+0,-6.201000E+2,-5.692750E-7,6.984950E-9,5.693179E-7,1.792970E+2
1.638269E+0,-5.956000E+2,-5.583320E-7,1.676390E-8,5.585836E-7,1.782802E+2
1.839274E+0,-5.819000E+2,-5.266670E-7,-1.350420E-8,5.268401E-7,-1.785312E+2
2.038275E+0,-5.587000E+2,-5.278310E-7,6.286460E-9,5.278684E-7,1.793176E+2
2.239317E+0,-5.464000E+2,-5.066430E-7,-6.984950E-9,5.066911E-7,-1.792101E+2
2.439238E+0,-5.369000E+2,-4.717170E-7,-3.306220E-8,4.728742E-7,-1.759908E+2
2.638241E+0,-5.150000E+2,-4.807990E-7,0.000000E+0,4.807990E-7,1.800000E+2
2.838277E+0,-5.053000E+2,-4.356280E-7,-3.422630E-8,4.369705E-7,-1.755076E+2
3.039275E+0,-4.934000E+2,-4.025660E-7,-4.027990E-8,4.045761E-7,-1.742861E+2
3.238268E+0,-4.882000E+2,-3.995390E-7,-1.722960E-8,3.999103E-7,-1.775307E+2
3.438256E+0,-4.844000E+2,-4.088520E-7,4.656640E-9,4.088785E-7,1.793475E+2
3.638263E+0,-4.779000E+2,-3.871990E-7,6.984950E-9,3.872620E-7,1.789665E+2
3.839276E+0,-4.766000E+2,-3.692710E-7,-1.117590E-8,3.694401E-7,-1.782665E+2
4.038268E+0,-4.721000E+2,-3.462210E-7,-2.514580E-8,3.471330E-7,-1.758459E+2
4.239270E+0,-4.707000E+2,-3.373730E-7,-2.654280E-8,3.384155E-7,-1.755015E+2
4.438325E+0,-4.662000E+2,-3.555340E-7,6.752120E-9,3.555981E-7,1.789120E+2
4.639270E+0,-4.637000E+2,-3.529730E-7,7.916300E-9,3.530618E-7,1.787152E+2
4.838269E+0,-4.597000E+2,-3.490150E-7,2.211900E-8,3.497152E-7,1.763737E+2
5.039273E+0,-4.534000E+2,-3.350450E-7,2.118770E-8,3.357143E-7,1.763815E+2
5.238276E+0,-4.494000E+2,-3.138580E-7,-2.095490E-9,3.138650E-7,-1.796175E+2
5.438206E+0,-4.404000E+2,-3.336480E-7,1.001180E-8,3.337982E-7,1.782812E+2
5.638165E+0,-4.366000E+2,-3.010520E-7,-2.398170E-8,3.020057E-7,-1.754455E+2
5.838266E+0,-4.274000E+2,-3.238690E-7,1.816090E-8,3.243778E-7,1.767905E+2
6.038263E+0,-4.230000E+2,-2.817270E-7,-2.328320E-10,2.817271E-7,-1.799527E+2
6.238229E+0,-4.178000E+2,-2.915060E-7,2.561150E-8,2.926289E-7,1.749789E+2
6.438268E+0,-4.098000E+2,-2.698530E-7,-6.984950E-9,2.699434E-7,-1.785173E+2
6.638261E+0,-4.021000E+2,-2.812610E-7,2.910390E-8,2.827628E-7,1.740923E+2
6.838268E+0,-3.970000E+2,-2.484320E-7,1.094310E-8,2.486729E-7,1.774778E+2
7.039268E+0,-3.932000E+2,-2.619360E-7,2.514580E-8,2.631402E-7,1.745164E+2
7.238270E+0,-3.848000E+2,-2.547190E-7,-6.984950E-10,2.547200E-7,-1.798429E+2
