Sample Name, Varga_5_4_40G
Freq, 40, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 95.5 deg; output = 5 V; sens. = 10 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.970000E-5,-6.443000E+2,2.137390E-7,-2.374880E-8,2.150543E-7,-6.340198E+0
1.662365E-1,-6.447000E+2,1.457530E-7,5.401690E-8,1.554405E-7,2.033500E+1
3.662090E-1,-6.450000E+2,2.421460E-7,-3.213090E-8,2.442685E-7,-7.558551E+0
5.672550E-1,-6.387000E+2,1.988380E-7,9.313300E-10,1.988402E-7,2.683636E-1
7.661626E-1,-6.311000E+2,2.412140E-7,-2.840550E-8,2.428808E-7,-6.716252E+0
9.661606E-1,-6.226000E+2,2.291060E-7,-4.190980E-9,2.291443E-7,-1.047981E+0
1.166216E+0,-5.994000E+2,1.979070E-7,2.561150E-8,1.995573E-7,7.373768E+0
1.367221E+0,-5.878000E+2,2.263120E-7,-4.656640E-9,2.263599E-7,-1.178763E+0
1.567166E+0,-5.736000E+2,2.342290E-7,-1.722960E-8,2.348618E-7,-4.207031E+0
1.766160E+0,-5.438000E+2,1.797460E-7,5.681090E-8,1.885102E-7,1.753977E+1
1.967277E+0,-5.283000E+2,2.551840E-7,-2.048920E-8,2.560052E-7,-4.590537E+0
2.167205E+0,-5.099000E+2,2.589090E-7,-4.051280E-8,2.620595E-7,-8.893246E+0
2.366198E+0,-4.788000E+2,2.873150E-7,-6.193340E-8,2.939144E-7,-1.216450E+1
2.567231E+0,-4.637000E+2,2.728790E-7,-2.514580E-8,2.740351E-7,-5.264937E+0
2.766198E+0,-4.377000E+2,2.291060E-7,3.725310E-8,2.321150E-7,9.235582E+0
2.967273E+0,-4.238000E+2,2.672910E-7,1.396990E-9,2.672947E-7,2.994523E-1
3.166202E+0,-4.005000E+2,2.635660E-7,2.468020E-8,2.647190E-7,5.349552E+0
3.367205E+0,-3.884000E+2,2.589090E-7,6.891830E-8,2.679246E-7,1.490577E+1
3.566198E+0,-3.678000E+2,2.565810E-7,8.055990E-8,2.689307E-7,1.743096E+1
3.767203E+0,-3.576000E+2,2.789330E-7,4.656640E-8,2.827933E-7,9.477824E+0
3.966171E+0,-3.387000E+2,3.278270E-7,-2.468020E-8,3.287547E-7,-4.305347E+0
4.166260E+0,-3.268000E+2,3.012850E-7,1.257290E-8,3.015472E-7,2.389619E+0
4.367218E+0,-3.089000E+2,2.896430E-7,4.330670E-8,2.928627E-7,8.503727E+0
