Sample Name, Varga_5_4_36G
Freq, 36, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 100 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.950000E-5,-6.561000E+2,2.216560E-6,-5.960510E-8,2.217361E-6,-1.540359E+0
9.080220E-2,-6.552000E+2,2.145780E-6,4.842900E-8,2.146326E-6,1.292913E+0
2.900707E-1,-6.556000E+2,2.205390E-6,1.117590E-8,2.205418E-6,2.903461E-1
4.900439E-1,-6.546000E+2,2.216560E-6,-3.725320E-9,2.216563E-6,-9.629557E-2
6.900876E-1,-6.402000E+2,2.153230E-6,7.078100E-8,2.154393E-6,1.882750E+0
8.900430E-1,-6.309000E+2,2.246360E-6,-1.862660E-8,2.246437E-6,-4.750802E-1
1.091088E+0,-6.062000E+2,2.250090E-6,3.352780E-8,2.250340E-6,8.536811E-1
1.290116E+0,-5.935000E+2,2.313420E-6,-7.450640E-9,2.313432E-6,-1.845271E-1
1.490071E+0,-5.599000E+2,2.335770E-6,4.842900E-8,2.336272E-6,1.187780E+0
1.691176E+0,-5.449000E+2,2.443800E-6,-3.725320E-9,2.443803E-6,-8.734142E-2
1.891080E+0,-5.300000E+2,2.533210E-6,-2.235190E-8,2.533309E-6,-5.055389E-1
2.090079E+0,-4.945000E+2,2.633790E-6,0.000000E+0,2.633790E-6,0.000000E+0
2.290071E+0,-4.799000E+2,2.741830E-6,-2.980250E-8,2.741992E-6,-6.227557E-1
2.490077E+0,-4.616000E+2,2.779080E-6,1.117590E-8,2.779102E-6,2.304102E-1
2.690077E+0,-4.353000E+2,2.961620E-6,-3.725320E-9,2.961622E-6,-7.207035E-2
2.890080E+0,-4.192000E+2,3.039850E-6,-1.117590E-8,3.039871E-6,-2.106449E-1
3.090074E+0,-3.960000E+2,3.241020E-6,-5.215430E-8,3.241440E-6,-9.219207E-1
3.291083E+0,-3.846000E+2,3.308070E-6,-4.470370E-8,3.308372E-6,-7.742211E-1
3.490073E+0,-3.736000E+2,3.393750E-6,-5.215430E-8,3.394151E-6,-8.804379E-1
3.690076E+0,-3.531000E+2,3.576290E-6,-4.097840E-8,3.576525E-6,-6.564867E-1
3.890075E+0,-3.429000E+2,3.680600E-6,-5.215430E-8,3.680969E-6,-8.118300E-1
4.090080E+0,-3.259000E+2,3.762560E-6,1.862660E-8,3.762606E-6,2.836412E-1
4.290074E+0,-3.163000E+2,3.851980E-6,0.000000E+0,3.851980E-6,0.000000E+0
4.490082E+0,-2.982000E+2,4.038240E-6,-7.450640E-9,4.038247E-6,-1.057118E-1
4.691154E+0,-2.884000E+2,4.179800E-6,-5.587960E-8,4.180174E-6,-7.659397E-1
